# x_49,y_24,rho_1176
3.571428571428571530e+01,3.125000000000000000e+01,3.359999999999999098e-02
3.775510204081632537e+01,3.125000000000000000e+01,3.079999999999999405e-02
3.979591836734694255e+01,3.125000000000000000e+01,3.079999999999999405e-02
4.183673469387755262e+01,3.125000000000000000e+01,3.359999999999999098e-02
4.387755102040816269e+01,3.125000000000000000e+01,3.359999999999999098e-02
4.591836734693877986e+01,3.125000000000000000e+01,3.919999999999999180e-02
4.795918367346938993e+01,3.125000000000000000e+01,3.639999999999999486e-02
5.000000000000000000e+01,3.125000000000000000e+01,1.399999999999999682e-02
5.204081632653061718e+01,3.125000000000000000e+01,1.959999999999999590e-02
5.408163265306122014e+01,3.125000000000000000e+01,1.119999999999999815e-02
5.612244897959183731e+01,3.125000000000000000e+01,2.799999999999999538e-03
5.816326530612245449e+01,3.125000000000000000e+01,0.000000000000000000e+00
6.020408163265305745e+01,3.125000000000000000e+01,0.000000000000000000e+00
6.224489795918367463e+01,3.125000000000000000e+01,0.000000000000000000e+00
6.428571428571429180e+01,3.125000000000000000e+01,0.000000000000000000e+00
6.632653061224490898e+01,3.125000000000000000e+01,0.000000000000000000e+00
6.836734693877551194e+01,3.125000000000000000e+01,0.000000000000000000e+00
7.040816326530611491e+01,3.125000000000000000e+01,0.000000000000000000e+00
7.244897959183674629e+01,3.125000000000000000e+01,0.000000000000000000e+00
7.448979591836734926e+01,3.125000000000000000e+01,0.000000000000000000e+00
7.653061224489795222e+01,3.125000000000000000e+01,0.000000000000000000e+00
7.857142857142858361e+01,3.125000000000000000e+01,0.000000000000000000e+00
8.061224489795918657e+01,3.125000000000000000e+01,0.000000000000000000e+00
8.265306122448978954e+01,3.125000000000000000e+01,0.000000000000000000e+00
8.469387755102042092e+01,3.125000000000000000e+01,0.000000000000000000e+00
